scenario,rho_shift,corr_b_beta,auc,iso
oligopolistic,-0.2,0.6446482648435483,0.736159169550173,0.95
oligopolistic,-0.15,0.6915256346564265,0.760726643598616,0.95
oligopolistic,-0.1,0.7324650641714763,0.7780276816608996,1.0
oligopolistic,-0.05,0.7687150797664585,0.8020761245674741,1.0
oligopolistic,-0.0,0.801195657068458,0.8240484429065745,1.0
oligopolistic,0.05,0.8303992694598892,0.8461937716262975,1.0
oligopolistic,0.1,0.8568104475147498,0.8655709342560554,1.0
oligopolistic,0.15,0.8808119327736005,0.8833910034602077,1.0
oligopolistic,0.2,0.902736226458407,0.8961937716262975,1.0
fragmented,-0.2,0.6476120537012452,0.7358099209833188,0.9
fragmented,-0.15,0.6949094162588197,0.7593064091308166,1.0
fragmented,-0.1,0.7360357650277141,0.7793568920105356,1.0
fragmented,-0.05,0.7722803302519645,0.8040496049165935,1.0
fragmented,-0.0,0.8045510618756447,0.8231453028972784,1.0
fragmented,0.05,0.8335037286245026,0.8468064091308166,1.0
fragmented,0.1,0.8596355477667711,0.8639925373134328,1.0
fragmented,0.15,0.883366839382103,0.8799495171202809,1.0
fragmented,0.2,0.9050249028759833,0.898320895522388,1.0
intermediate,-0.2,0.6568664770201418,0.7220598977355734,1.0
intermediate,-0.15,0.70283894731077,0.7534331628926224,1.0
intermediate,-0.1,0.7426627573620558,0.7736669101533965,1.0
intermediate,-0.05,0.777672792615044,0.7944485025566106,1.0
intermediate,-0.0,0.8088348693333767,0.8177867056245436,1.0
intermediate,0.05,0.8367997170569929,0.8378378378378379,1.0
intermediate,0.1,0.8620666183590491,0.8573776479181886,1.0
intermediate,0.15,0.8850442988469206,0.8760043827611396,1.0
intermediate,0.2,0.9060777433220497,0.8920379839298759,1.0
