domain,size,share,conc,irr,beta_star,s,throughput,reach,switch,conc_proxy,is_extreme,behavior,share_proxy_norm,b,risk,selected,extreme_row
E,1.368697143456528,0.13115972209368407,0.16872075455966318,0.3896904720310976,0.1978908559548632,0.19546065810563001,1.207953160768348,0.0424499828749177,0.4350568822023995,0.0666471886620925,False,0.42892873214871613,0.1278715681502249,0.126325994960943,0.6249279215510968,False,False
E,1.010844046571134,0.1571222890499144,0.16872075455966318,0.45460616733571824,0.1707393422869317,0.057546367163071266,0.7531033143556338,0.13285134752962646,0.2737854543903303,0.6100808638557556,False,0.14652509255028945,0.15797098658874292,0.2318558007724305,0.4434702088250075,False,False
E,1.0866631926501173,0.22111741276244787,0.16872075455966318,0.4978818964116414,0.16720149527534423,0.23297697780360277,2.1536356546467736,0.3485332402015738,0.3536518441607259,0.30863019296815264,False,0.15509502116884338,0.23216303431251512,0.3142230222381687,0.4572770786766258,True,False
E,1.595319356750615,0.6245133551675524,0.16872075455966318,0.7638859564689536,0.376113848499764,0.45767818427020324,2.610383726410424,0.6350238242674013,0.4762368589323152,0.3694772009077339,False,0.16783718328122074,0.6998357142644409,0.5875767584624482,0.7239105662510977,False,False
E,1.2637563020484086,0.45680804331994473,0.16872075455966318,0.550252744321812,0.4351949759538978,0.25627486401610944,0.6216000791928352,0.44676199584731446,0.19257725335832732,0.47369066531386844,False,0.3266756470345863,0.5054083926450759,0.42733518409338983,0.5054856331785789,False,False
E,1.0629484427221607,0.2820077324436486,0.16872075455966318,0.623902424755781,0.32613504439422736,0.23691940560550384,1.4200060790324198,0.4481818430527681,0.17618031922512897,0.35301415781133355,False,0.4038529574834804,0.3027555613931155,0.35674989127749396,0.46259563580252294,True,False
E,2.875125217485323,0.6153173924929154,0.16872075455966318,0.37145350041514813,0.4148167671046236,0.2838989830102225,2.5223343353279346,0.5775028421262138,0.6131307492214291,0.5647965496812207,False,0.5526778201588585,0.6891744753755618,0.6088589926360841,0.7680849230279161,False,False
E,1.1131114107905085,0.12602816772790532,0.16872075455966318,0.1002351326724777,0.1165487339852262,0.47631368865066587,1.0171211429033415,0.06322320359717212,0.42261136388244175,0.08806898774563965,False,0.0,0.12192235664290463,0.1355330835236658,0.5064348513055227,False,False
E,1.0591511821802946,0.05347719504367415,0.16872075455966318,0.319467892729216,0.18502839400830404,0.4197094796183092,1.1481471978113373,0.1167260957696264,0.06618210600438108,0.2268024042232292,False,0.24932212427996364,0.037811178860457983,0.10592721434558791,0.5039654726053054,False,False
E,1.3132713184242577,0.5841129208403231,0.16872075455966318,0.5366076697016333,0.40213313666652833,0.5132205191055066,0.8290254961604842,0.7335391437463823,0.9532621359626196,0.5193345925043878,False,0.2502704837251001,0.652997911979204,0.7142316019507241,1.0770385891520258,False,False
